resolved_release	aliases	bacterial_taxonomy	archaeal_taxonomy	bacterial_taxonomy_sha256	archaeal_taxonomy_sha256	bacterial_taxonomy_rows	archaeal_taxonomy_rows	is_latest	source_root_url	checksum_filename
80.0	80,80.0,release80,release80/80.0	bac_taxonomy_r80.tsv.gz		03444bcbb179c8537d4dd04419f87daa97b42967658d6bb2ea707d5840a29771		94759		false	https://data.gtdb.ecogenomic.org/releases/release80/80.0/	MD5SUM
83.0	83,83.0,release83,release83/83.0	bac_taxonomy_r83.tsv.gz		8131d73e11fd2b7b58d63bdd12d906e1aa5148104e5c6b610904ef55b88fb9e4		109419		false	https://data.gtdb.ecogenomic.org/releases/release83/83.0/	MD5SUM
86.0	86,86.0,release86,release86/86.0	bac_taxonomy_r86.tsv.gz	arc_taxonomy_r86.tsv.gz	7cbae7b48f3a35cb7a16ddcb4e0e2b2a2e71ae76386d4fb1e6eee316b1585072	168a1d407e9b04ec8af7ceaad4d6b0bbf43f88028ee26d05012ac8058a609eff	125243	2075	false	https://data.gtdb.ecogenomic.org/releases/release86/86.0/	MD5SUM
89.0	89,89.0,release89,release89/89.0	bac120_taxonomy_r89.tsv.gz	ar122_taxonomy_r89.tsv.gz	ad47521dad326742b3e423c926d1f6e27470822865d4ecb530bc1ed6f7d86e46	8336a340025c1222dec95efcff51dbf844999a2f18d6816561b71ed284aa9906	143512	2392	false	https://data.gtdb.ecogenomic.org/releases/release89/89.0/	MD5SUM
95.0	95,95.0,release95,release95/95.0	bac120_taxonomy_r95.tsv.gz	ar122_taxonomy_r95.tsv.gz	3fa15bde0e75036a9cbb76fef99f0a755c7a2d5425d0aa9dc15264ee1b64b230	87f08fb83f2c9382d92232e08658c4f206b340136e0c8ca55752b934432bfadc	191527	3073	false	https://data.gtdb.ecogenomic.org/releases/release95/95.0/	MD5SUM
202.0	202,202.0,release202,release202/202.0	bac120_taxonomy_r202.tsv.gz	ar122_taxonomy_r202.tsv.gz	0351b5badde73c1fdaabc4ab7c7e4ecc74e1b9076b40b173fe963286ce5d7879	bda91ff75b3de8c1c02f5e4f9c7442204a924ce62ea4afa5b468218b5d45e502	254090	4316	false	https://data.gtdb.ecogenomic.org/releases/release202/202.0/	MD5SUM
207.0	207,207.0,release207,release207/207.0	bac120_taxonomy_r207.tsv.gz	ar53_taxonomy_r207.tsv.gz	2c14f673cfc5a4bbc9d10171dfb5c949698281b46297c8d4012b8e59266e7e74	16ce4d135bb2e4aabbb02b5b6d2a2bcdbd857c57259fb5e63e7aefe559ea6609	311480	6062	false	https://data.gtdb.ecogenomic.org/releases/release207/207.0/	MD5SUM.txt
214.0	214,214.0,release214,release214/214.0	bac120_taxonomy_r214.tsv.gz	ar53_taxonomy_r214.tsv.gz	4d4fd509cb03946e3c94d42158e800534fc18deef7aceb0f1a4a5320599751cb	7043b59f6026f7da416484cc744b557b8ae90519e824e04253bdd9d70d4ec22d	394932	7777	false	https://data.gtdb.ecogenomic.org/releases/release214/214.0/	MD5SUM.txt
220.0	220,220.0,release220,release220/220.0	bac120_taxonomy_r220.tsv.gz	ar53_taxonomy_r220.tsv.gz	0e4318af347bf1afa31d323bdc82000b2a3823d6e67eac6a585465313207766d	c89ca02f3c824c7c143132857fcf791f3b5015e7c59c2303765d8e11f5f44876	584382	12477	false	https://data.gtdb.ecogenomic.org/releases/release220/220.0/	MD5SUM.txt
226.0	226,226.0,release226,release226/226.0	bac120_taxonomy_r226.tsv.gz	ar53_taxonomy_r226.tsv.gz	a54d30b1deb505e813cb754f4298a225687df3cd882675cad7b53796d1429ebc	4ea492ea290772583348af67a87e98444759b51d8106d8f5adcfe2d57335e6c3	715230	17245	false	https://data.gtdb.ecogenomic.org/releases/release226/226.0/	MD5SUM.txt
232.0	232,232.0,release232,release232/232.0,latest	bac120_taxonomy_r232.tsv.gz	ar53_taxonomy_r232.tsv.gz	d565d92730db443cd394a4b685ea682fe3691a3a1da3713804bbef2025d2cc71	53c71cf120662c527ade15fa3994550f0012fdc0f37b2f32b0ca0eaa17424f84	878998	22343	true	https://data.gtdb.ecogenomic.org/releases/release232/232.0/	MD5SUM.txt
